        Frequency / GHz                SZmax(1),Zmax(1) (wm=4)/abs,dB
               28.406335                     -0.76920617
               28.452303                     -0.76352086
               28.498271                     -0.75817071
               28.544239                     -0.75312295
               28.590207                     -0.74834979
               28.636176                     -0.74382759
               28.682144                     -0.73953626
               28.728112                     -0.73545872
                28.77408                      -0.7315805
               28.820048                     -0.72788941
               28.866016                     -0.72437524
               28.911985                     -0.72102956
               28.957953                     -0.71784552
               29.003921                     -0.71481772
               29.049889                     -0.71194209
               29.095857                     -0.70921581
               29.141826                     -0.70663725
               29.187794                     -0.70420594
               29.233762                     -0.70192252
                29.27973                      -0.6997888
               29.325698                     -0.69780774
               29.371666                     -0.69598351
               29.417635                     -0.69432156
               29.463603                     -0.69282871
               29.509571                     -0.69151323
               29.555539                     -0.69038505
               29.601507                     -0.68945589
               29.647475                     -0.68873948
               29.693444                     -0.68825183
               29.739412                     -0.68801154
                29.78538                     -0.68804018
               29.831348                     -0.68836274
               29.877316                     -0.68900816
               29.923285                     -0.69001001
               29.969253                     -0.69140727
               30.015221                     -0.69324528
               30.061189                     -0.69557694
               30.107157                     -0.69846407
               30.153125                     -0.70197924
               30.199094                     -0.70620784
               30.245062                     -0.71125077
                30.29103                     -0.71722766
               30.336998                     -0.72428104
               30.382966                     -0.73258135
               30.428934                     -0.74233335
               30.474903                     -0.75378411
               30.520871                     -0.76723311
               30.566839                     -0.78304487
               30.612807                     -0.80166487
               30.658775                      -0.8236393
               30.704744                     -0.84963956
               30.750712                     -0.88049165
                30.79668                     -0.91721044
               30.842648                     -0.96103665
               30.888616                      -1.0134709
               30.934584                      -1.0762915
               30.980553                      -1.1515302
               31.026521                      -1.2413522
               31.072489                      -1.3477547
               31.118457                      -1.4719424
               31.164425                      -1.6132174
               31.210393                      -1.7672992
               31.256362                      -1.9243772
                31.30233                      -2.0680233
               31.348298                      -2.1769836
               31.394266                      -2.2312946
               31.440234                      -2.2207161
               31.486203                      -2.1496802
               31.532171                      -2.0346158
               31.578139                      -1.8961466
               31.624107                      -1.7520876
               31.670075                      -1.6144077
               31.716043                      -1.4894787
               31.762012                      -1.3796789
                31.80798                      -1.2850319
               31.853948                      -1.2043971
               31.899916                      -1.1361977
               31.945884                      -1.0788136
               31.991853                      -1.0307692
               32.037821                     -0.99080825
               32.083789                     -0.95791174
               32.129757                     -0.93129126
               32.175725                     -0.91037414
