        Frequency / GHz                SZmax(1),Zmax(1) (wm=1)/abs,dB
                   35.28                     -0.45272168
                  35.326                     -0.45152149
                  35.372                     -0.45032831
                  35.418                     -0.44914213
                  35.464                     -0.44796292
                   35.51                     -0.44679066
                  35.556                     -0.44562534
                  35.602                     -0.44446692
                  35.648                      -0.4433154
                  35.694                     -0.44217075
                   35.74                     -0.44103296
                  35.786                     -0.43990199
                  35.832                     -0.43877784
                  35.878                     -0.43766048
                  35.924                     -0.43654989
                   35.97                     -0.43544605
                  36.016                     -0.43434894
                  36.062                     -0.43325855
                  36.108                     -0.43217484
                  36.154                     -0.43109781
                    36.2                     -0.43002743
                  36.246                     -0.42896368
                  36.292                     -0.42790654
                  36.338                       -0.426856
                  36.384                     -0.42581202
                   36.43                      -0.4247746
                  36.476                     -0.42374372
                  36.522                     -0.42271934
                  36.568                     -0.42170146
                  36.614                     -0.42069006
                   36.66                     -0.41968511
                  36.706                     -0.41868659
                  36.752                      -0.4176945
                  36.798                      -0.4167088
                  36.844                     -0.41572948
                   36.89                     -0.41475652
                  36.936                      -0.4137899
                  36.982                     -0.41282961
                  37.028                     -0.41187561
                  37.074                     -0.41092791
                   37.12                     -0.40998647
                  37.166                     -0.40905128
                  37.212                     -0.40812231
                  37.258                     -0.40719957
                  37.304                     -0.40628301
                   37.35                     -0.40537263
                  37.396                     -0.40446841
                  37.442                     -0.40357033
                  37.488                     -0.40267837
                  37.534                     -0.40179252
                   37.58                     -0.40091276
                  37.626                     -0.40003906
                  37.672                     -0.39917142
                  37.718                     -0.39830982
                  37.764                     -0.39745423
                   37.81                     -0.39660465
                  37.856                     -0.39576105
                  37.902                     -0.39492342
                  37.948                     -0.39409175
                  37.994                     -0.39326601
                   38.04                     -0.39244619
                  38.086                     -0.39163227
                  38.132                     -0.39082424
                  38.178                     -0.39002208
                  38.224                     -0.38922578
                   38.27                     -0.38843531
                  38.316                     -0.38765067
                  38.362                     -0.38687184
                  38.408                      -0.3860988
                  38.454                     -0.38533154
                    38.5                     -0.38457004
                  38.546                     -0.38381429
                  38.592                     -0.38306427
                  38.638                     -0.38231996
                  38.684                     -0.38158136
                   38.73                     -0.38084845
                  38.776                     -0.38012121
                  38.822                     -0.37939963
                  38.868                     -0.37868369
                  38.914                     -0.37797339
                   38.96                      -0.3772687
                  39.006                     -0.37656961
                  39.052                     -0.37587611
                  39.098                     -0.37518818
                  39.144                     -0.37450582
                   39.19                       -0.373829
                  39.236                     -0.37315772
                  39.282                     -0.37249195
                  39.328                      -0.3718317
                  39.374                     -0.37117694
                   39.42                     -0.37052765
                  39.466                     -0.36988384
                  39.512                     -0.36924548
                  39.558                     -0.36861257
                  39.604                     -0.36798508
                   39.65                     -0.36736301
                  39.696                     -0.36674635
                  39.742                     -0.36613508
                  39.788                     -0.36552919
                  39.834                     -0.36492867
                   39.88                      -0.3643335
                  39.926                     -0.36374369
                  39.972                      -0.3631592
                  40.018                     -0.36258004
                  40.064                     -0.36200618
                   40.11                     -0.36143763
                  40.156                     -0.36087436
