        Frequency / GHz                SZmax(1),Zmax(1)/abs,dB
                 24.7163                      -26.407129
                  24.732                      -26.657123
                 24.7477                      -26.895215
                 24.7634                      -27.118565
                 24.7791                      -27.324166
                 24.7948                      -27.508937
                 24.8105                      -27.669833
                 24.8262                      -27.803998
                 24.8419                      -27.908913
                 24.8576                       -27.98256
                 24.8733                      -28.023557
                  24.889                      -28.031262
                 24.9047                       -28.00582
                 24.9204                      -27.948155
                 24.9361                      -27.859902
                 24.9518                      -27.743287
                 24.9675                      -27.600981
                 24.9832                      -27.435945
                 24.9989                      -27.251269
                 25.0146                      -27.050043
                 25.0303                      -26.835244
                  25.046                      -26.609662
                 25.0617                      -26.375845
                 25.0774                      -26.136074
                 25.0931                      -25.892353
                 25.1088                      -25.646419
                 25.1245                      -25.399756
                 25.1402                      -25.153615
                 25.1559                       -24.90904
                 25.1716                      -24.666894
                 25.1873                      -24.427879
                  25.203                      -24.192563
                 25.2187                      -23.961396
                 25.2344                      -23.734733
                 25.2501                      -23.512846
                 25.2658                      -23.295939
                 25.2815                       -23.08416
                 25.2972                      -22.877609
                 25.3129                      -22.676352
                 25.3286                      -22.480423
                 25.3443                      -22.289828
                   25.36                       -22.10456
                 25.3757                       -21.92459
                 25.3914                      -21.749883
                 25.4071                       -21.58039
                 25.4228                      -21.416058
                 25.4385                      -21.256829
                 25.4542                      -21.102642
                 25.4699                      -20.953433
                 25.4856                      -20.809139
                 25.5013                      -20.669696
                  25.517                      -20.535042
                 25.5327                      -20.405116
                 25.5484                      -20.279858
                 25.5641                      -20.159212
                 25.5798                      -20.043124
                 25.5955                      -19.931543
                 25.6112                       -19.82442
                 25.6269                      -19.721711
                 25.6426                      -19.623375
                 25.6583                      -19.529374
                  25.674                      -19.439672
                 25.6897                       -19.35424
                 25.7054                      -19.273049
                 25.7211                      -19.196077
                 25.7368                      -19.123302
                 25.7525                      -19.054708
                 25.7682                      -18.990283
                 25.7839                      -18.930015
                 25.7996                        -18.8739
                 25.8153                      -18.821934
                  25.831                      -18.774118
                 25.8467                      -18.730457
                 25.8624                      -18.690958
                 25.8781                      -18.655631
                 25.8938                      -18.624492
                 25.9095                      -18.597556
                 25.9252                      -18.574845
                 25.9409                      -18.556381
                 25.9566                       -18.54219
                 25.9723                      -18.532302
                  25.988                      -18.526747
                 26.0037                      -18.525559
                 26.0194                      -18.528774
                 26.0351                      -18.536429
                 26.0508                      -18.548565
                 26.0665                      -18.565219
                 26.0822                      -18.586435
                 26.0979                      -18.612253
                 26.1136                      -18.642713
                 26.1293                      -18.677856
                  26.145                      -18.717719
                 26.1607                      -18.762335
                 26.1764                      -18.811736
                 26.1921                      -18.865946
                 26.2078                      -18.924982
                 26.2235                      -18.988852
                 26.2392                      -19.057552
                 26.2549                      -19.131066
                 26.2706                      -19.209357
                 26.2863                       -19.29237
                  26.302                      -19.380026
                 26.3177                      -19.472214
                 26.3334                      -19.568791
                 26.3491                       -19.66957
                 26.3648                      -19.774319
                 26.3805                      -19.882748
                 26.3962                      -19.994506
                 26.4119                      -20.109166
                 26.4276                      -20.226217
                 26.4433                      -20.345056
                  26.459                      -20.464973
                 26.4747                      -20.585143
                 26.4904                      -20.704616
                 26.5061                      -20.822308
                 26.5218                      -20.936994
                 26.5375                      -21.047312
                 26.5532                      -21.151763
                 26.5689                      -21.248723
                 26.5846                      -21.336466
                 26.6003                      -21.413193
                  26.616                      -21.477073
                 26.6317                      -21.526298
                 26.6474                      -21.559141
                 26.6631                      -21.574028
                 26.6788                      -21.569607
                 26.6945                      -21.544811
                 26.7102                       -21.49892
                 26.7259                      -21.431603
                 26.7416                      -21.342936
                 26.7573                      -21.233403
                  26.773                      -21.103877
                 26.7887                      -20.955573
                 26.8044                      -20.789992
                 26.8201                      -20.608853
                 26.8358                      -20.414026
                 26.8515                      -20.207456
                 26.8672                      -19.991109
                 26.8829                      -19.766914
                 26.8986                      -19.536722
                 26.9143                      -19.302276
                   26.93                      -19.065187
                 26.9457                      -18.826921
                 26.9614                      -18.588797
                 26.9771                      -18.351981
                 26.9928                      -18.117494
                 27.0085                      -17.886213
                 27.0242                      -17.658881
                 27.0399                      -17.436113
                 27.0556                      -17.218404
                 27.0713                      -17.006131
                  27.087                      -16.799562
                 27.1027                      -16.598858
                 27.1184                      -16.404073
                 27.1341                      -16.215154
                 27.1498                      -16.031942
                 27.1655                      -15.854168
                 27.1812                      -15.681447
                 27.1969                      -15.513275
                 27.2126                      -15.349025
                 27.2283                       -15.18794
                  27.244                      -15.029132
                 27.2597                      -14.871582
                 27.2754                      -14.714142
                 27.2911                      -14.555546
                 27.3068                      -14.394427
                 27.3225                      -14.229339
                 27.3382                      -14.058794
                 27.3539                      -13.881306
                 27.3696                      -13.695441
                 27.3853                      -13.499884
                  27.401                      -13.293495
                 27.4167                      -13.075377
                 27.4324                      -12.844932
                 27.4481                      -12.601905
                 27.4638                       -12.34641
                 27.4795                      -12.078941
                 27.4952                      -11.800352
                 27.5109                      -11.511827
                 27.5266                      -11.214818
                 27.5423                      -10.910991
                  27.558                      -10.602145
                 27.5737                      -10.290144
                 27.5894                       -9.976851
                 27.6051                      -9.6640656
                 27.6208                      -9.3534788
                 27.6365                      -9.0466355
                 27.6522                      -8.7449103
                 27.6679                      -8.4494936
                 27.6836                      -8.1613868
                 27.6993                       -7.881405
                  27.715                      -7.6101855
                 27.7307                      -7.3482001
                 27.7464                      -7.0957708
                 27.7621                      -6.8530855
                 27.7778                      -6.6202159
                 27.7935                      -6.3971341
                 27.8092                      -6.1837288
                 27.8249                      -5.9798199
                 27.8406                      -5.7851729
                 27.8563                      -5.5995107
                  27.872                      -5.4225242
                 27.8877                      -5.2538821
                 27.9034                      -5.0932382
                 27.9191                      -4.9402386
                 27.9348                       -4.794527
                 27.9505                       -4.655749
                 27.9662                      -4.5235557
                 27.9819                      -4.3976067
                 27.9976                       -4.277572
                 28.0133                      -4.1631336
                  28.029                      -4.0539863
