        Frequency / GHz                SZmax(1),Zmax(1)/abs,dB
                  48.187                     -0.45408777
                  48.236                     -0.45185006
                  48.285                     -0.44970909
                  48.334                     -0.44767756
                  48.383                     -0.44576849
                  48.432                     -0.44399497
                  48.481                     -0.44237012
                   48.53                     -0.44090696
                  48.579                     -0.43961831
                  48.628                      -0.4385168
                  48.677                      -0.4376148
                  48.726                     -0.43692442
                  48.775                     -0.43645753
                  48.824                     -0.43622573
                  48.873                     -0.43624041
                  48.922                      -0.4365128
                  48.971                     -0.43705395
                   49.02                     -0.43787484
                  49.069                     -0.43898639
                  49.118                     -0.44039956
                  49.167                     -0.44212539
                  49.216                     -0.44417507
                  49.265                     -0.44656004
                  49.314                     -0.44929203
                  49.363                     -0.45238317
                  49.412                     -0.45584605
                  49.461                     -0.45969384
                   49.51                     -0.46394033
